"code","name","default","comment"
"as","type","text+terminal","[text,terminal,all]+..."
"a2","release","yes","[yes,no]"
"a2","type","default","[default,all,{terminal,text}+...]"
"vw","file","path",""
"vw","show","no","[no,yes]"
"lx","charset","name+...","[]"
"lx","fallbackText","text",""""""
"lx","hfb","auto","[auto,vga,fb,0-7]"
"lx","largeScreenBug","no","[no,yes]"
"lx","logSFM","no","[no,yes]"
"lx","rpiSpacesBug","no","[no,yes]"
"lx","unicode","yes","[yes,no]"
"lx","vt","0","[0-63]"
"lx","widecharPadding","no","[no,yes]"
"em","directory","path","[]"
"em","emulator","command","[brltty-pty]"
"em","group","name/number","[]"
"em","home","path","[]"
"em","path","path","[]"
"em","shell","command","[$SHELL]"
"em","user","name/number","[]"
"tx","session","name",""
"tx","socket","path",""
"wn","root","no","[no,yes]"
"wn","followFocus","yes","[yes,no]"
